Term,Frequency
take,688803
make,360707
test,354030
get,345774
grade,341827
good,324225
easy,308753
give,285693
student,266210
hard,260030
really,255667
lecture,253261
work,246951
time,246579
would,244033
well,236570
go,234744
lot,234172
exam,233563
help,224600
